m,n,k,time_int,time_ext,max_error
500,3000,750,0.1416859626770020,1.8059968948364258E-002,0.000000000000000
750,3000,750,0.1501040458679199,2.7557849884033203E-002,0.000000000000000
1000,3000,750,0.1508247852325439,3.5784959793090820E-002,0.000000000000000
1500,3000,750,0.1700830459594727,5.3229093551635742E-002,0.000000000000000
2000,3000,750,0.1942389011383057,7.1637868881225586E-002,0.000000000000000
3000,3000,750,0.2444570064544678,0.1069018840789795,0.000000000000000
5000,3000,750,0.3346149921417236,0.1799621582031250,0.000000000000000
100,5000,750,0.1371920108795166,9.6840858459472656E-003,0.000000000000000
250,5000,750,0.1418139934539795,2.1142959594726563E-002,0.000000000000000
500,5000,750,0.1497418880462646,4.1420221328735352E-002,0.000000000000000
750,5000,750,0.1640679836273193,6.1599969863891602E-002,0.000000000000000
1000,5000,750,0.1841919422149658,8.0930948257446289E-002,0.000000000000000
1500,5000,750,0.2263321876525879,0.1203877925872803,0.000000000000000
2000,5000,750,0.2779150009155273,0.1618289947509766,0.000000000000000
3000,5000,750,0.3772919178009033,0.2429130077362061,0.000000000000000
5000,5000,750,0.5522210597991943,0.3701970577239990,0.000000000000000
100,100,1000,9.5201969146728516E-002,7.1096420288085938E-004,0.000000000000000
250,100,1000,0.1121690273284912,2.2189617156982422E-003,0.000000000000000
500,100,1000,0.1333658695220947,4.7039985656738281E-003,0.000000000000000
750,100,1000,0.1304538249969482,7.0838928222656250E-003,0.000000000000000
1000,100,1000,0.1235570907592773,6.5400600433349609E-003,0.000000000000000
1500,100,1000,0.1305449008941650,1.3901948928833008E-002,0.000000000000000
2000,100,1000,0.1401078701019287,1.7760038375854492E-002,0.000000000000000
3000,100,1000,0.1478910446166992,2.6284217834472656E-002,0.000000000000000
5000,100,1000,0.1665720939636230,4.4963836669921875E-002,0.000000000000000
100,250,1000,0.1314408779144287,1.5559196472167969E-003,0.000000000000000
250,250,1000,0.1138970851898193,1.7559528350830078E-003,0.000000000000000
500,250,1000,0.1191229820251465,4.3151378631591797E-003,0.000000000000000
750,250,1000,0.1370949745178223,8.0399513244628906E-003,0.000000000000000
1000,250,1000,0.1363840103149414,1.0313987731933594E-002,0.000000000000000
1500,250,1000,0.1430218219757080,1.5086889266967773E-002,0.000000000000000
2000,250,1000,0.1487169265747070,2.0278930664062500E-002,0.000000000000000
3000,250,1000,0.1591091156005859,2.9551029205322266E-002,0.000000000000000
5000,250,1000,0.1350839138031006,2.9111146926879883E-002,0.000000000000000
100,500,1000,0.1178109645843506,1.5950202941894531E-003,0.000000000000000
250,500,1000,0.1322939395904541,3.9370059967041016E-003,0.000000000000000
500,500,1000,0.1324591636657715,6.9849491119384766E-003,0.000000000000000
750,500,1000,0.1397259235382080,1.0004997253417969E-002,0.000000000000000
1000,500,1000,0.1451878547668457,1.2859821319580078E-002,0.000000000000000
1500,500,1000,0.1344881057739258,1.8268108367919922E-002,0.000000000000000
2000,500,1000,0.1583318710327148,2.4447917938232422E-002,0.000000000000000
3000,500,1000,0.1622939109802246,3.5730123519897461E-002,0.000000000000000
